MSE,Generation
2.22285E+13,0
2.22285E+13,1
2.22285E+13,2
2.22103E+13,3
2.22103E+13,4
2.22103E+13,5
2.22103E+13,6
2.22103E+13,7
9.65838E+12,8
8.28589E+12,9
8.28589E+12,10
8.28589E+12,11
5.91799E+12,12
4.47201E+12,13
2.98395E+12,14
2.42846E+12,15
1.27376E+12,16
1.27375E+12,17
1.08131E+12,18
1.08131E+12,19
1.08131E+12,20
1.08131E+12,21
1.0813E+12,22
1.0813E+12,23
1.0813E+12,24
1.0813E+12,25
1.0813E+12,26
1.0813E+12,27
1.0813E+12,28
1.0813E+12,29
1.0813E+12,30
1.0813E+12,31
1.0813E+12,32
1.0813E+12,33
1.0813E+12,34
1.0813E+12,35
1.0813E+12,36
1.0813E+12,37
9.33863E+11,38
9.33863E+11,39
9.33863E+11,40
8.69628E+11,41
8.69628E+11,42
8.69628E+11,43
8.69628E+11,44
8.69628E+11,45
8.69628E+11,46
8.69628E+11,47
8.69628E+11,48
8.69628E+11,49
8.69628E+11,50
