Fitness,Generation
3.12E-14,0
3.28E-14,1
3.28E-14,2
4.96E-14,3
4.96E-14,4
1.12E-13,5
1.12E-13,6
2.28E-13,7
2.28E-13,8
2.54E-13,9
2.54E-13,10
2.87E-13,11
4.28E-13,12
4.28E-13,13
4.28E-13,14
4.28E-13,15
4.29E-13,16
4.32E-13,17
4.97E-13,18
5.22E-13,19
5.22E-13,20
5.82E-13,21
5.82E-13,22
6.03E-13,23
6.03E-13,24
6.03E-13,25
6.11E-13,26
6.11E-13,27
6.28E-13,28
6.28E-13,29
6.28E-13,30
6.74E-13,31
6.74E-13,32
7.03E-13,33
7.03E-13,34
7.03E-13,35
7.03E-13,36
7.03E-13,37
7.03E-13,38
7.03E-13,39
7.03E-13,40
7.06E-13,41
7.06E-13,42
7.06E-13,43
7.06E-13,44
7.06E-13,45
7.06E-13,46
7.06E-13,47
7.06E-13,48
7.06E-13,49
7.06E-13,50
