Fitness,Generation
3.12E-14,0
3.12E-14,1
3.12E-14,2
3.28E-14,3
3.28E-14,4
3.28E-14,5
3.28E-14,6
3.28E-14,7
3.28E-14,8
3.28E-14,9
3.28E-14,10
3.28E-14,11
3.28E-14,12
3.28E-14,13
3.28E-14,14
3.28E-14,15
4.89E-14,16
4.89E-14,17
8.58E-14,18
8.58E-14,19
2.98E-13,20
3.70E-13,21
4.59E-13,22
4.59E-13,23
4.82E-13,24
4.82E-13,25
4.82E-13,26
4.82E-13,27
5.09E-13,28
6.57E-13,29
6.57E-13,30
6.57E-13,31
6.57E-13,32
6.57E-13,33
6.57E-13,34
6.57E-13,35
6.57E-13,36
6.57E-13,37
6.57E-13,38
6.57E-13,39
6.57E-13,40
6.57E-13,41
6.57E-13,42
6.57E-13,43
6.57E-13,44
6.57E-13,45
6.57E-13,46
6.57E-13,47
6.57E-13,48
6.57E-13,49
6.57E-13,50
