MSE,Generation
2.77E+13,0
2.77E+13,1
2.77E+13,2
2.77E+13,3
2.77E+13,4
2.77E+13,5
2.77E+13,6
2.77E+13,7
2.77E+13,8
2.77E+13,9
2.77E+13,10
2.77E+13,11
2.77E+13,12
2.77E+13,13
2.77E+13,14
2.77E+13,15
1.45E+13,16
1.45E+13,17
8.29E+12,18
8.29E+12,19
2.27E+12,20
1.83E+12,21
1.47E+12,22
1.47E+12,23
1.47E+12,24
1.47E+12,25
1.47E+12,26
1.47E+12,27
1.40E+12,28
1.08E+12,29
1.08E+12,30
1.08E+12,31
1.08E+12,32
1.08E+12,33
1.08E+12,34
1.08E+12,35
1.08E+12,36
1.08E+12,37
1.08E+12,38
1.08E+12,39
1.08E+12,40
1.08E+12,41
1.08E+12,42
1.08E+12,43
1.08E+12,44
1.08E+12,45
1.08E+12,46
1.08E+12,47
1.08E+12,48
1.08E+12,49
1.08E+12,50
