Fitness,Generation
3.16E-14,0
3.16E-14,1
3.32E-14,2
5.51E-14,3
1.10E-13,4
1.27E-13,5
1.99E-13,6
3.07E-13,7
5.53E-13,8
6.52E-13,9
6.52E-13,10
6.52E-13,11
6.52E-13,12
6.52E-13,13
6.84E-13,14
6.84E-13,15
6.84E-13,16
1.07E-12,17
1.07E-12,18
1.07E-12,19
1.07E-12,20
1.07E-12,21
1.07E-12,22
1.07E-12,23
1.07E-12,24
1.07E-12,25
1.07E-12,26
1.07E-12,27
1.07E-12,28
1.07E-12,29
1.13E-12,30
1.13E-12,31
1.13E-12,32
1.13E-12,33
1.13E-12,34
1.13E-12,35
1.13E-12,36
1.13E-12,37
1.15E-12,38
1.15E-12,39
1.15E-12,40
1.15E-12,41
1.15E-12,42
1.15E-12,43
1.15E-12,44
1.15E-12,45
1.15E-12,46
1.15E-12,47
1.15E-12,48
1.15E-12,49
1.15E-12,50
