Fitness,Generation
3.12E-14,0
3.12E-14,1
3.28E-14,2
3.28E-14,3
3.28E-14,4
3.28E-14,5
3.77E-14,6
3.77E-14,7
3.77E-14,8
5.39E-14,9
5.39E-14,10
5.39E-14,11
5.46E-14,12
7.02E-14,13
7.02E-14,14
1.23E-13,15
2.19E-13,16
6.57E-13,17
6.57E-13,18
6.57E-13,19
6.57E-13,20
6.57E-13,21
6.57E-13,22
6.69E-13,23
6.69E-13,24
6.69E-13,25
8.29E-13,26
8.29E-13,27
8.29E-13,28
8.29E-13,29
8.67E-13,30
9.40E-13,31
9.40E-13,32
9.40E-13,33
9.40E-13,34
9.40E-13,35
9.40E-13,36
9.40E-13,37
9.40E-13,38
9.80E-13,39
9.80E-13,40
1.00E-12,41
1.10E-12,42
1.10E-12,43
1.10E-12,44
1.10E-12,45
1.10E-12,46
1.10E-12,47
1.10E-12,48
1.10E-12,49
1.10E-12,50
