MSE,Generation
2.77E+13,0
2.77E+13,1
2.77E+13,2
1.43E+13,3
1.43E+13,4
6.02E+12,5
6.02E+12,6
3.12E+12,7
3.12E+12,8
2.53E+12,9
2.53E+12,10
2.36E+12,11
1.50E+12,12
1.50E+12,13
1.50E+12,14
1.50E+12,15
1.50E+12,16
1.49E+12,17
1.30E+12,18
1.30E+12,19
1.30E+12,20
1.11E+12,21
1.11E+12,22
1.07E+12,23
1.07E+12,24
1.07E+12,25
1.11E+12,26
1.11E+12,27
1.08E+12,28
1.08E+12,29
1.08E+12,30
9.56E+11,31
9.56E+11,32
9.17E+11,33
9.17E+11,34
9.17E+11,35
9.17E+11,36
9.17E+11,37
9.17E+11,38
9.17E+11,39
9.17E+11,40
9.13E+11,41
9.13E+11,42
9.13E+11,43
9.13E+11,44
9.13E+11,45
9.13E+11,46
9.13E+11,47
9.13E+11,48
9.13E+11,49
9.13E+11,50
