MSE,Generation
2.76669E+13,0
2.76669E+13,1
2.76669E+13,2
2.76669E+13,3
2.76669E+13,4
2.76669E+13,5
2.08071E+13,6
2.08071E+13,7
2.08071E+13,8
1.453E+13,9
1.453E+13,10
1.453E+13,11
1.36704E+13,12
1.11566E+13,13
1.11566E+13,14
6.35809E+12,15
3.58521E+12,16
1.08134E+12,17
1.08134E+12,18
1.08134E+12,19
1.08134E+12,20
1.08134E+12,21
1.08134E+12,22
1.06267E+12,23
1.06267E+12,24
1.06267E+12,25
8.56917E+11,26
8.56917E+11,27
8.56917E+11,28
8.56917E+11,29
8.60788E+11,30
7.93461E+11,31
7.93461E+11,32
7.93461E+11,33
7.93461E+11,34
7.93461E+11,35
7.93461E+11,36
7.93461E+11,37
7.93461E+11,38
7.24818E+11,39
7.24818E+11,40
6.74334E+11,41
6.47079E+11,42
6.47079E+11,43
6.47079E+11,44
6.47079E+11,45
6.47079E+11,46
6.47079E+11,47
6.47079E+11,48
6.47079E+11,49
6.47079E+11,50
